model_name,model_family,training_type,split_used,validation_accuracy,validation_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,invalid_prediction_rate,selected_by_validation,hyperparameter_source,evidence_path,prediction_path,status,reason_if_skipped_or_failed
random_uniform,baseline,dummy,test,,,,,,,,,False,fixed_or_not_applicable,,outputs/predictions/random_uniform_test_predictions.jsonl,skipped,metric missing
random_train_distribution,baseline,dummy,test,,,,,,,,,False,fixed_or_not_applicable,,outputs/predictions/random_train_distribution_test_predictions.jsonl,skipped,metric missing
majority_baseline,baseline,dummy,test,,,,,,,,,False,fixed_or_not_applicable,,outputs/predictions/majority_baseline_test_predictions.jsonl,skipped,metric missing
logistic_regression,classical,supervised,test,,0.9442907459735717,,,,,,,True,results/classical/classical_validation_grid.csv,,outputs/predictions/logistic_regression_test_predictions.jsonl,skipped,metric missing
linear_svm,classical,supervised,test,,0.9579598520460362,,,,,,,True,results/classical/classical_validation_grid.csv,,outputs/predictions/linear_svm_test_predictions.jsonl,skipped,metric missing
multinomial_nb,classical,supervised,test,,0.913500249032316,,,,,,,True,results/classical/classical_validation_grid.csv,,outputs/predictions/multinomial_nb_test_predictions.jsonl,skipped,metric missing
distilbert-base-uncased,transformer,fine-tuned supervised,test,0.965524625267666,0.9579914096999408,,,,,,,True,results/transformer/training_args.json,,outputs/predictions/distilbert_base_uncased_test_predictions.jsonl,skipped,metric missing
qwen_zero_shot,llm_prompting,zero_shot,test,,,,,,,,0.045,False,results/qwen/qwen_run_config.json,,outputs/qwen_predictions.csv,skipped,metric missing
qwen_few_shot,llm_prompting,few_shot,test,,,,,,,,1.0,False,results/qwen/qwen_run_config.json,,outputs/qwen_predictions.csv,failed,All Qwen few-shot outputs were invalid; do not treat as a meaningful completed result.
bilstm,neural_sequence,neural_sequence,test,,,,,,,,,False,fixed_or_not_applicable,,results/qwen/qwen_predictions.csv,skipped,metric missing
bert-base-uncased,fine_tuned_encoder,fine_tuned_encoder,test,,,,,,,,,False,fixed_or_not_applicable,,results/qwen/qwen_predictions.csv,skipped,metric missing
nlpaueb/legal-bert-base-uncased,fine_tuned_encoder,fine_tuned_encoder,test,,,,,,,,,False,fixed_or_not_applicable,,results/qwen/qwen_predictions.csv,skipped,metric missing
nlpaueb/bert-base-uncased-contracts,fine_tuned_encoder,fine_tuned_encoder,test,,,,,,,,,False,fixed_or_not_applicable,,results/qwen/qwen_predictions.csv,skipped,metric missing
roberta-base,fine_tuned_encoder,fine_tuned_encoder,test,,,,,,,,,False,fixed_or_not_applicable,,results/qwen/qwen_predictions.csv,skipped,metric missing
microsoft/deberta-v3-base,fine_tuned_encoder,fine_tuned_encoder,test,,,,,,,,,False,fixed_or_not_applicable,,results/qwen/qwen_predictions.csv,skipped,metric missing
qwen_retrieval_few_shot,llm_prompting,retrieval_few_shot,test,,,,,,,,,False,results/qwen/qwen_run_config.json,,outputs/qwen_predictions.csv,skipped,metric missing
