model_name,validation_macro_f1,max_features,ngram_range,class_weight
logistic_regression,0.9401915332158058,10000,"(1, 1)",
logistic_regression,0.9400592856164144,10000,"(1, 1)",balanced
logistic_regression,0.9435939522081748,10000,"(1, 2)",
logistic_regression,0.942411666166352,10000,"(1, 2)",balanced
logistic_regression,0.9421572029943194,30000,"(1, 1)",
logistic_regression,0.9399024318632572,30000,"(1, 1)",balanced
logistic_regression,0.9442907459735717,30000,"(1, 2)",
logistic_regression,0.9442001059450388,30000,"(1, 2)",balanced
linear_svm,0.947838890340408,10000,"(1, 1)",
linear_svm,0.9474595845604684,10000,"(1, 1)",balanced
linear_svm,0.9538221471119298,10000,"(1, 2)",
linear_svm,0.9537653667797834,10000,"(1, 2)",balanced
linear_svm,0.948054761716891,30000,"(1, 1)",
linear_svm,0.9465167047713684,30000,"(1, 1)",balanced
linear_svm,0.9577255763537544,30000,"(1, 2)",
linear_svm,0.9579598520460362,30000,"(1, 2)",balanced
multinomial_nb,0.9042142767228204,10000,"(1, 1)",
multinomial_nb,0.9069238830256764,10000,"(1, 2)",
multinomial_nb,0.9036395720229994,30000,"(1, 1)",
multinomial_nb,0.913500249032316,30000,"(1, 2)",
