model_family,model_name,label,precision,recall,f1_score,support,classification_report_path,f1_rank_within_model
transformer,distilbert-base-uncased,Governing Laws,0.9982332155477032,0.9947183098591548,0.9964726631393298,568.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,1.0
transformer,distilbert-base-uncased,Notices,0.9852216748768472,0.975609756097561,0.9803921568627452,410.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,6.0
transformer,distilbert-base-uncased,Counterparts,0.9934782608695653,0.9978165938864628,0.9956427015250544,458.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,2.0
transformer,distilbert-base-uncased,Entire Agreements,0.9757412398921832,0.981029810298103,0.9783783783783784,369.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,8.0
transformer,distilbert-base-uncased,Severability,0.9947916666666666,0.9896373056994818,0.9922077922077922,386.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,3.0
transformer,distilbert-base-uncased,Amendments,0.9241071428571428,0.9452054794520548,0.9345372460496614,219.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,17.0
transformer,distilbert-base-uncased,Survival,0.9767441860465116,0.9905660377358492,0.9836065573770492,212.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,4.0
transformer,distilbert-base-uncased,Assignments,0.9637305699481864,0.9738219895287958,0.96875,191.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,13.0
transformer,distilbert-base-uncased,Expenses,0.9617486338797814,0.9723756906077348,0.967032967032967,181.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,14.0
transformer,distilbert-base-uncased,Terms,0.9371069182389936,0.8662790697674418,0.9003021148036254,172.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,18.0
transformer,distilbert-base-uncased,Terminations,0.8407079646017699,0.8407079646017699,0.8407079646017699,113.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,19.0
transformer,distilbert-base-uncased,Insurances,0.968503937007874,0.9761904761904762,0.9723320158102768,126.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,12.0
transformer,distilbert-base-uncased,Taxes,0.9505494505494504,0.9664804469273744,0.9584487534626038,179.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,15.0
transformer,distilbert-base-uncased,Litigations,0.9689922480620154,0.9765625,0.9727626459143968,128.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,10.0
transformer,distilbert-base-uncased,Further Assurances,0.9802631578947368,0.9802631578947368,0.9802631578947368,152.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,7.0
transformer,distilbert-base-uncased,Confidentiality,0.9523809523809524,0.9937888198757764,0.972644376899696,161.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,11.0
transformer,distilbert-base-uncased,General,0.7979274611398963,0.7897435897435897,0.7938144329896907,195.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,20.0
transformer,distilbert-base-uncased,Compliance With Laws,0.9804878048780488,0.9804878048780488,0.9804878048780488,205.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,5.0
transformer,distilbert-base-uncased,Indemnifications,0.993006993006993,0.9594594594594594,0.9759450171821306,148.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,9.0
transformer,distilbert-base-uncased,Waivers,0.9433962264150944,0.9433962264150944,0.9433962264150944,159.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,16.0
