metric,value,notes
dataset,LEDGAR,Main supervised dataset.
huggingface_loader,"load_dataset(""coastalcph/lex_glue"", ""ledgar"")",Declared in modules/data_setup.py.
raw_total_examples,80000,Counted from raw JSONL exports.
raw_train_examples,60000,Raw train split.
raw_validation_examples,10000,Raw validation split.
raw_test_examples,10000,Raw test split.
filtered_total_examples,37989,After top-label filtering.
filtered_train_examples,28587,Filtered train split.
filtered_validation_examples,4670,Filtered validation split.
filtered_test_examples,4732,Filtered test split.
selected_label_count,20,Top labels selected from training split.
average_clause_length_words,103.38179473005344,"Processed examples, word count."
maximum_clause_length_words,1167,"Processed examples, word count."
average_clause_length_characters,644.6007791729185,"Processed examples, character count."
maximum_clause_length_characters,7222,"Processed examples, character count."
