model_name,model_family,training_type,split_used,validation_accuracy,validation_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,invalid_prediction_rate,selected_by_validation,hyperparameter_source,evidence_path,prediction_path,status,reason_if_skipped_or_failed
random_uniform,baseline,dummy,test,,,0.04945054945054945,0.04564001879409404,0.05296021912197895,,,,False,fixed_or_not_applicable,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_uniform_report.json; /content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/confusion_matrices/random_uniform_confusion_matrix.png,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/predictions/random_uniform_test_predictions.csv,completed,
random_train_distribution,baseline,dummy,test,,,0.05938292476754015,0.0445159239499602,0.060032351058339664,,,,False,fixed_or_not_applicable,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json; /content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/confusion_matrices/random_train_distribution_confusion_matrix.png,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/predictions/random_train_distribution_test_predictions.csv,completed,
majority_baseline,baseline,dummy,test,,,0.12003381234150465,0.010716981132075473,0.025728002041499862,,,,False,fixed_or_not_applicable,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json; /content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/confusion_matrices/majority_baseline_confusion_matrix.png,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/predictions/majority_baseline_test_predictions.csv,completed,
logistic_regression,classical,classical,test,,0.9557967942376064,0.9609044801352493,0.9488529750881589,0.9609467215632769,,,,True,validation macro-F1,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json; /content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/confusion_matrices/logistic_regression_confusion_matrix.png,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/predictions/logistic_regression_test_predictions.csv,completed,
linear_svm,classical,classical,test,,0.9578756813496371,0.9651310228233305,0.9542374091501298,0.9646902953802567,,,,True,validation macro-F1,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json; /content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/confusion_matrices/linear_svm_confusion_matrix.png,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/predictions/linear_svm_test_predictions.csv,completed,
multinomial_nb,classical,classical,test,,0.9239144370671122,0.9344885883347421,0.9149481968543828,0.9345302294145972,,,,True,validation macro-F1,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json; /content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/confusion_matrices/multinomial_nb_confusion_matrix.png,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/predictions/multinomial_nb_test_predictions.csv,completed,
distilbert-base-uncased,transformer_encoder,fine_tuned_encoder,test,,,0.9647083685545224,0.9541439680850164,0.9645885862049207,,,,True,validation macro-F1,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json; /content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/confusion_matrices/distilbert_base_uncased_confusion_matrix.png,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/predictions/distilbert_base_uncased_test_predictions.csv,completed,
qwen_zero_shot,llm_prompting,prompted_llm,test,,,0.62,0.5618626505861222,0.5743278078685945,,,0.255,False,fixed_or_not_applicable,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/classification_reports/qwen_zero_shot_report.json; /content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/confusion_matrices/qwen_zero_shot_confusion_matrix.png,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/predictions/qwen_zero_shot_test_predictions.csv,completed,
qwen_static_few_shot,llm_prompting,prompted_llm,test,,,0.11,0.00990990990990991,0.0218018018018018,,,1.0,False,fixed_or_not_applicable,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/classification_reports/qwen_static_few_shot_report.json; /content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/confusion_matrices/qwen_static_few_shot_confusion_matrix.png,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/predictions/qwen_static_few_shot_test_predictions.csv,failed,All prompted outputs were invalid; do not report as a meaningful completed result.
qwen_retrieval_few_shot,llm_prompting,prompted_llm,test,,,0.8,0.8146887211702463,0.7953066732309731,,,0.17000000000000004,False,fixed_or_not_applicable,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/classification_reports/qwen_retrieval_few_shot_report.json; /content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/confusion_matrices/qwen_retrieval_few_shot_confusion_matrix.png,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/predictions/qwen_retrieval_few_shot_test_predictions.csv,completed,
