model_name,dataset_name,accuracy,macro_f1,weighted_f1,num_samples,num_labels,notes
random_uniform,LEDGAR_test,0.0494505494505494,0.045640018794094,0.0529602191219789,,,results/baselines/classification_reports/random_uniform_report.json; results/baselines/confusion_matrices/random_uniform_confusion_matrix.png
random_train_distribution,LEDGAR_test,0.0593829247675401,0.0445159239499602,0.0600323510583396,,,results/baselines/classification_reports/random_train_distribution_report.json; results/baselines/confusion_matrices/random_train_distribution_confusion_matrix.png
majority_baseline,LEDGAR_test,0.1200338123415046,0.0107169811320754,0.0257280020414998,,,results/baselines/classification_reports/majority_baseline_report.json; results/baselines/confusion_matrices/majority_baseline_confusion_matrix.png
logistic_regression,LEDGAR_test,0.9549873203719358,0.9419305241627208,0.954892972463496,,,results/classical/classification_reports/logistic_regression_report.json; results/classical/confusion_matrices/logistic_regression_confusion_matrix.png
linear_svm,LEDGAR_test,0.963863060016906,0.9533659315308862,0.9634732703192472,,,results/classical/classification_reports/linear_svm_report.json; results/classical/confusion_matrices/linear_svm_confusion_matrix.png
multinomial_nb,LEDGAR_test,0.9325866441251056,0.9112577337736262,0.9306694762247678,,,results/classical/classification_reports/multinomial_nb_report.json; results/classical/confusion_matrices/multinomial_nb_confusion_matrix.png
distilbert-base-uncased,LEDGAR_test,0.9649196956889264,0.9544062486712525,0.9648138361608009,,,results/transformer/classification_reports/distilbert_base_uncased_report.json; results/transformer/confusion_matrices/distilbert_base_uncased_confusion_matrix.png
qwen_zero_shot,LEDGAR_test,0.565,0.5039488016309485,0.5688091761624854,,,results/qwen/classification_reports/qwen_zero_shot_report.json; results/qwen/confusion_matrices/qwen_zero_shot_confusion_matrix.png
distilbert-base-uncased,CUAD_external,0.862404447533009,0.7555323010490932,0.869769686242138,2878,6,External CUAD evaluation using saved LEDGAR fine-tuned transformer at C:\Users\ybenj\Documents\GitHub\Education\INM434 Natural-Language-Processing\Natural-Language-Processing\results\transformer\model.
linear_svm,CUAD_external,0.8568450312717165,0.7568520680699135,0.8710035232195036,2878,6,External CUAD evaluation using existing LEDGAR-trained artifact: C:\Users\ybenj\Documents\GitHub\Education\INM434 Natural-Language-Processing\Natural-Language-Processing\models\trained\classical\linear_svm.joblib.
logistic_regression,CUAD_external,0.8610145934676859,0.759255948227063,0.8741595435251218,2878,6,External CUAD evaluation using existing LEDGAR-trained artifact: C:\Users\ybenj\Documents\GitHub\Education\INM434 Natural-Language-Processing\Natural-Language-Processing\models\trained\classical\logistic_regression.joblib.
multinomial_nb,CUAD_external,0.8585823488533704,0.7425450437289269,0.8654443136466277,2878,6,External CUAD evaluation using existing LEDGAR-trained artifact: C:\Users\ybenj\Documents\GitHub\Education\INM434 Natural-Language-Processing\Natural-Language-Processing\models\trained\classical\multinomial_nb.joblib.
qwen_few_shot,CUAD_external,,,,2878,0,CUAD external prompting was not run because the LEDGAR prompting stage does not save a reusable local model/tokenizer artifact. Run a dedicated CUAD prompting job with the model loaded to evaluate it.
qwen_retrieval_few_shot,CUAD_external,,,,2878,0,CUAD external prompting was not run because the LEDGAR prompting stage does not save a reusable local model/tokenizer artifact. Run a dedicated CUAD prompting job with the model loaded to evaluate it.
qwen_zero_shot,CUAD_external,,,,2878,0,CUAD external prompting was not run because the LEDGAR prompting stage does not save a reusable local model/tokenizer artifact. Run a dedicated CUAD prompting job with the model loaded to evaluate it.
