label,train_count,train_fraction
Governing Laws,3136,0.10970021338370588
Notices,2445,0.08552838702906916
Counterparts,2376,0.0831147024871445
Entire Agreements,2318,0.0810858082345122
Severability,1774,0.06205617938223668
Amendments,1460,0.051072165669710005
Survival,1442,0.05044250883268619
Assignments,1308,0.045755063490397735
Expenses,1211,0.04236191275754714
Terms,1142,0.03994822821562249
Terminations,1103,0.038583971735404204
Insurances,1087,0.03802427676916081
Taxes,1072,0.037499562738307624
Litigations,1022,0.035750515968797004
Further Assurances,1001,0.035015916325602546
Confidentiality,993,0.03473606884248085
General,955,0.03340679329765278
Compliance With Laws,953,0.033336831426872354
Indemnifications,923,0.03228740336516599
Waivers,866,0.030293490047923883
