label,count,mean,median,std,min,max
Governing Laws,4196,75.01930409914203,44.0,83.34539109068426,4,579
Counterparts,3247,61.483215275639054,56.0,33.92372490286752,7,325
Notices,3236,124.02997527812114,107.0,81.08985626448442,9,1167
Entire Agreements,3070,78.84918566775244,67.0,45.642308481785776,14,525
Severability,2483,92.05920257752719,81.0,50.627991389903165,7,476
Amendments,1934,100.91778697001034,58.0,115.44856606372755,10,900
Survival,1896,74.66508438818565,47.0,72.22889564439357,3,613
Assignments,1700,104.98058823529412,84.0,76.63917721411403,4,705
Expenses,1560,90.75256410256411,68.0,76.17753179291145,4,767
Terms,1475,89.4657627118644,71.0,67.85655624865863,4,501
Taxes,1461,139.06981519507187,122.0,100.45648849827555,4,945
Insurances,1409,117.85379701916253,93.0,93.13013973837305,4,676
Terminations,1407,100.08386638237384,76.0,73.14909122803313,8,457
Compliance With Laws,1319,102.74298711144807,87.0,69.44813827188999,12,482
Litigations,1312,115.5251524390244,94.0,67.81229516854269,13,591
Further Assurances,1306,97.20367534456355,67.0,78.80182146969227,12,574
Confidentiality,1301,210.4903920061491,184.0,143.55041765043887,12,981
General,1293,145.98066511987625,115.0,108.96235367095336,8,809
Indemnifications,1209,192.12985938792391,158.0,136.24188599715956,10,936
Waivers,1175,113.38212765957446,91.0,82.06955449926433,4,723
