outlier_type,split,label,label_id,word_count,text
shortest,validation,Survival,6,3,Section 3.07 Survival.
shortest,train,Assignments,7,4,Prepayments; Reallocations; Reconciliation .
shortest,train,Expenses,8,4,Indemnity; Damage Waiver .
shortest,train,Waivers,19,4,Limitation of Waiver .
shortest,train,Taxes,12,4,Australian Tax Consolidation .
shortest,validation,Terms,9,4,Renewal Date Consulting Term.
shortest,train,Governing Laws,0,4,SECTION 11.17 GOVERNING LAW.
shortest,train,Insurances,11,4,See Schedule 10.3(g) .
shortest,train,Insurances,11,5,Currently we have no insurance.
shortest,train,Taxes,12,6,As defined in Section 3.3(d) .
shortest,test,Insurances,11,6,The Company maintains adequate insurance policies.
shortest,train,Insurances,11,6,The Company has no insurance policies.
shortest,train,Survival,6,6,This Section 7.1 shall survive Closing.
shortest,train,Survival,6,7,This Section 6 shall survive the Closing.
shortest,train,Survival,6,7,This Section 0 shall survive the Closing.
shortest,train,Survival,6,7,This Section 11.4 shall survive the Closing.
shortest,test,Severability,4,7,The provisions of this Agreement are non-severable.
shortest,train,Insurances,11,7,E-Marine does not hold any insurance policy.
shortest,train,Counterparts,2,7,The Amendment may be executed in counterparts.
shortest,train,Survival,6,7,This Article XV shall survive the Closing.
shortest,validation,Counterparts,2,7,This Lease may be executed in counterparts.
shortest,train,Assignments,7,7,A duly executed counterpart of the Assignment.
shortest,train,Survival,6,7,This Article XVI shall survive the Closing.
shortest,validation,Terminations,10,8,Executive’s employment hereunder may be terminated as follows.
shortest,train,Assignments,7,8,Benefits under the Plan may not be assigned.
