model_family,model_name,training_type,dataset,eval_split,sample_size,accuracy,macro_f1,weighted_f1,invalid_prediction_rate,status,error_type,error_message,notes,prediction_path,classification_report_path,confusion_matrix_path
baseline,random_uniform,dummy,LEDGAR,test,4732,0.04945054945054945,0.04564001879409404,0.05296021912197895,,completed,,,Uniform random over selected labels.,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/predictions/random_uniform_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_uniform_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/confusion_matrices/random_uniform_confusion_matrix.png
baseline,random_train_distribution,dummy,LEDGAR,test,4732,0.05938292476754015,0.0445159239499602,0.060032351058339664,,completed,,,Random predictions sampled from the training label distribution.,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/predictions/random_train_distribution_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/confusion_matrices/random_train_distribution_confusion_matrix.png
baseline,majority_baseline,dummy,LEDGAR,test,4732,0.12003381234150465,0.010716981132075473,0.025728002041499862,,completed,,,Always predicts the most frequent training label.,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/predictions/majority_baseline_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/confusion_matrices/majority_baseline_confusion_matrix.png
classical,logistic_regression,supervised,LEDGAR,test,4732,0.9609044801352493,0.9488529750881589,0.9609467215632769,,completed,,,"Selected on validation macro-F1. Config={'model_name': 'logistic_regression', 'validation_macro_f1': 0.9557967942376064, 'max_features': 30000, 'ngram_range': '(1, 2)', 'min_df': 1, 'C': 10.0, 'alpha': None, 'class_weight': 'balanced', 'tokenizer': 'negation_aware'}",/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/predictions/logistic_regression_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/confusion_matrices/logistic_regression_confusion_matrix.png
classical,linear_svm,supervised,LEDGAR,test,4732,0.9651310228233305,0.9542374091501298,0.9646902953802567,,completed,,,"Selected on validation macro-F1. Config={'model_name': 'linear_svm', 'validation_macro_f1': 0.9578756813496371, 'max_features': 30000, 'ngram_range': '(1, 2)', 'min_df': 1, 'C': 1.0, 'alpha': None, 'class_weight': None, 'tokenizer': 'negation_aware'}",/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/predictions/linear_svm_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/confusion_matrices/linear_svm_confusion_matrix.png
classical,multinomial_nb,supervised,LEDGAR,test,4732,0.9344885883347421,0.9149481968543828,0.9345302294145972,,completed,,,"Selected on validation macro-F1. Config={'model_name': 'multinomial_nb', 'validation_macro_f1': 0.9239144370671122, 'max_features': 30000, 'ngram_range': '(1, 2)', 'min_df': 1, 'C': None, 'alpha': 0.1, 'class_weight': None, 'tokenizer': 'negation_aware'}",/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/predictions/multinomial_nb_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/confusion_matrices/multinomial_nb_confusion_matrix.png
transformer,distilbert-base-uncased,fine-tuned supervised,LEDGAR,test,4732,0.9647083685545224,0.9541439680850164,0.9645885862049207,,completed,,,Fine-tuned Hugging Face sequence classifier.,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/predictions/distilbert_base_uncased_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/confusion_matrices/distilbert_base_uncased_confusion_matrix.png
llm_prompting,qwen_zero_shot,zero_shot,LEDGAR,test,200,0.62,0.5618626505861222,0.5743278078685945,0.255,completed,,,Qwen prompting baseline. Invalid prediction rate=0.2550,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/predictions/qwen_zero_shot_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/classification_reports/qwen_zero_shot_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/confusion_matrices/qwen_zero_shot_confusion_matrix.png
llm_prompting,qwen_static_few_shot,static_few_shot,LEDGAR,test,200,0.11,0.00990990990990991,0.0218018018018018,1.0,completed,,,Qwen prompting baseline. Invalid prediction rate=1.0000,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/predictions/qwen_static_few_shot_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/classification_reports/qwen_static_few_shot_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/confusion_matrices/qwen_static_few_shot_confusion_matrix.png
llm_prompting,qwen_retrieval_few_shot,retrieval_few_shot,LEDGAR,test,200,0.8,0.8146887211702463,0.7953066732309731,0.17000000000000004,completed,,,Qwen prompting baseline. Invalid prediction rate=0.1700,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/predictions/qwen_retrieval_few_shot_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/classification_reports/qwen_retrieval_few_shot_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/qwen/confusion_matrices/qwen_retrieval_few_shot_confusion_matrix.png
